gene,score,logfoldchange,pval,pval_adj,pct_in,pct_out,cluster
TMC5,28.845272,3.0998933,5.808126380646221e-183,1.2478621240095059e-180,0.055345911949685536,0.05657640232108317,5
MDK,28.776497,2.8468158,4.223081191086506e-182,8.987593263181178e-180,0.03773584905660377,0.023984526112185687,5
MYH14,28.63489,2.232015,2.4724618225820145e-180,5.070569659602514e-178,0.0012578616352201257,0.004158607350096712,5
DST,28.567957,2.6329842,1.68092785523595e-179,3.41622085461872e-177,0.005031446540880503,0.03433268858800774,5
ISG20,28.427027,2.7038112,9.373246321509004e-178,1.8879559264903717e-175,0.0012578616352201257,0.014313346228239845,5
TMPRSS2,28.398289,2.3990743,2.1229467757788784e-177,4.2381908243182053e-175,0.43522012578616354,0.4425531914893617,5
EPCAM,28.308897,1.0810764,2.6856510811134114e-176,5.268313281638039e-174,0.0037735849056603774,0.029787234042553193,5
MISP,28.232576,1.7154603,2.329605688432346e-175,4.530480579771146e-173,0.37735849056603776,0.17359767891682784,5
KRT20,28.01589,2.1944153,1.0405383312657602e-172,1.9892800182223968e-170,0.0,0.0002901353965183752,5
PLS1,27.89665,2.4027092,2.9297079762995127e-171,5.507606853111726e-169,0.13333333333333333,0.1665377176015474,5
SLC26A3,27.889032,2.5505888,3.624464569637782e-171,6.757379853426341e-169,0.01761006289308176,0.003578336557059961,5
HLA-E,27.801083,1.4506207,4.208901283474889e-170,7.782672463435247e-168,0.08553459119496855,0.08452611218568665,5
CLDN7,27.659632,1.1223005,2.1374595949766785e-168,3.9202399189495037e-166,0.06289308176100629,0.08539651837524177,5
S100P,27.296,2.2963173,4.7317869164817395e-164,8.608417826525126e-162,0.17735849056603772,0.22098646034816247,5
DHRS9,27.221733,2.9053874,3.592520073894187e-163,6.432036535474521e-161,0.2930817610062893,0.2428433268858801,5
LMO7,27.188421,2.271104,8.902483473301599e-163,1.5813474383796125e-160,0.0012578616352201257,0.00038684719535783365,5
SAMD9,26.98446,3.8051634,2.249296669892773e-160,3.933479346985354e-158,0.2088050314465409,0.10570599613152805,5
HLA-A,26.875893,0.67054844,4.203131638097807e-159,7.293726663372956e-157,0.6830188679245283,0.7911992263056092,5
XDH,26.700947,3.5676308,4.58924469456741e-157,7.902959623263069e-155,0.1459119496855346,0.18123791102514505,5
LEFTY1,26.642464,3.0185647,2.1882816279122988e-156,4.936544524407355e-153,0.0,0.0008668015024559376,6
GMNN,26.563614,2.645031,1.788121018004679e-155,3.6671110950152323e-152,0.0013297872340425532,0.00038524511220263893,6
RARRES2,25.244843,2.4319534,1.2903077296069613e-140,2.239080928631034e-137,0.0013297872340425532,0.00048155639025329865,6
ADH1C,24.300827,2.57446,1.921242647171343e-130,2.708832054846145e-127,0.0013297872340425532,0.002215159395165174,6
C1QBP,22.961899,2.0552435,1.1207266737071882e-116,1.330656475376866e-113,0.0026595744680851063,0.00019262255610131947,6
IMPDH2,22.916927,2.3094609,3.150391969543103e-116,3.5534846220461426e-113,0.6329787234042553,0.44861793315997306,6
SLC12A2,22.813864,2.4363148,3.340143918313593e-115,3.5881098406303023e-112,0.04521276595744681,0.023403640566310314,6
TRABD2A,22.325556,2.4291055,2.086759101486528e-110,1.8830079428173837e-107,0.05585106382978723,0.06009823750361167,6
EDN1,22.280357,2.1749263,5.729995567451958e-110,4.971652692544182e-107,0.010638297872340425,0.005586054126938265,6
SET,21.86266,1.8325434,5.89113452717059e-106,4.922151992534865e-103,0.8417553191489362,0.714437060579794,6
MLEC,21.643291,1.866502,7.030014975802342e-104,5.468624408245691e-101,0.026595744680851064,0.059616681113358376,6
MARCKSL1,21.501192,1.8545103,1.5174285864534702e-102,1.1042474671549624e-99,0.0026595744680851063,0.0007704902244052779,6
HSPD1,20.995678,1.5975953,7.183003255147975e-98,4.5011491786911984e-95,0.013297872340425532,0.0077049022440527784,6
LDHB,20.817883,1.9989117,2.980735668724221e-96,1.7695372618618342e-93,0.006648936170212766,0.003274583453722431,6
RPL7P9,20.804348,1.963427,3.952955028477306e-96,2.286531089421014e-93,0.0013297872340425532,0.0011557353366079169,6
NME1,20.647844,2.020749,1.0207360133770616e-94,5.6162887136032035e-92,0.0013297872340425532,0.00048155639025329865,6
LRRC75A-AS1,20.614246,1.3328439,2.044840907112036e-94,1.0983230005604861e-91,0.023936170212765957,0.015217181932004237,6
PPP1R1B,20.518936,1.8463715,1.4586965103976855e-93,7.652728971642183e-91,0.08776595744680851,0.03698353077145334,6
MYC,20.20742,2.717414,8.423705404434105e-91,3.9589660462214366e-88,0.0,0.0002889338341519792,6
EIF3E,20.14873,1.7368537,2.7611537389794785e-90,1.2712013713803685e-87,0.003989361702127659,0.0015409804488105557,6
EIF3L,20.11923,1.8456699,5.007977383646269e-90,2.259499235953524e-87,0.425531914893617,0.14571896369064818,6
RSL1D1,19.794792,1.9910074,3.301156035733124e-87,1.4602113531392851e-84,0.015957446808510637,0.00722334585379948,6
APEX1,19.49218,2.2475421,1.2791276832388406e-84,5.343674334478705e-82,0.0026595744680851063,0.009053260136762015,6
RANBP1,19.086754,1.773392,3.253758430936338e-81,1.2877462533946113e-78,0.0,0.0002889338341519792,6
GDF15,18.96158,1.8300251,3.543351574706587e-80,1.3104011176033751e-77,0.07579787234042554,0.023018395454107676,6
EBPL,18.823345,2.219002,4.861682341322266e-79,1.7689466441595e-76,0.42154255319148937,0.24973514398536067,6
SNRPE,18.79455,1.7514181,8.368611007418432e-79,2.9966269161325774e-76,0.06382978723404255,0.3579890205143022,6
MGST1,18.773922,1.4894682,1.234290970862809e-78,4.350682814327204e-76,0.08776595744680851,0.06250601945487817,6
ESD,18.7647,1.9481963,1.4682569340811823e-78,5.0957551039903674e-76,0.0026595744680851063,0.01097948569777521,6
CCND2,18.699945,2.063872,4.95551598456432e-78,1.643992427879213e-75,0.0,0.0002889338341519792,6
RPSAP58,18.545105,1.4872272,8.932752774962052e-77,2.838224927469985e-74,0.07047872340425532,0.06799576230376578,6
PEBP1,18.521414,1.4598877,1.3874284711833552e-76,4.3470831779757376e-74,0.10904255319148937,0.052682269093710876,6
RPL5,18.438969,1.0742362,6.394917294888337e-76,1.976204647334055e-73,0.04521276595744681,0.023499951844360975,6
CCT2,17.932533,1.8204969,6.571523900726614e-72,1.8765444009682492e-69,0.005319148936170213,0.0038524511220263892,6
